OK	SC	446374.00
RI	VT	760998.00
ME	MO	173099.00
MO	IL	28245030.00
NJ	NC	5586560.00
GA	NH	895628.00
ME	HI	46466.00
KY	OK	460488.00
KS	OR	520625.00
VA	MD	32337105.00
WV	WI	692239.00
CO	WI	4908076.00
OR	CA	3447080.00
MS	CT	102400.00
SC	NC	5814104.00
AL	OH	2784649.00
DC	SC	11948888.00
HI	IL	8680270.00
MS	MN	415389.00
KY	DC	997689.00
PR	IL	2690589.00
MD	SC	6305904.00
TN	KY	10739404.00
SD	KY	525126.00
AS	AZ	58350.00
WY	WI	1511450.00
AZ	NC	2490029.00
TX	WA	5317407.00
WY	NJ	583851.00
UT	OH	1185179.00
KS	CO	688130.00
MA	WA	4882321.00
VT	AK	23700.00
ME	VA	1393754.00
SD	TX	929747.00
TN	MA	15744326.00
TN	TX	5916624.00
SD	MA	1993214.00
BA	VT	750.00
MI	OH	8691628.00
NC	NM	249259.00
CA	LA	9119437.00
IN	VT	898445.00
DI	IL	3000.00
RI	LA	169863.00
OH	KY	12396914.00
AR	AK	3118476.00
AP	LA	500.00
ID	IL	2953102.00
NE	NE	84013625.00
WY	AZ	2329305.00
OK	NY	4755565.00
ZZ	MD	40775.00
GA	VA	14227460.00
KY	WA	409212.00
OH	TX	7478721.00
OH	MA	27320902.00
NH	IL	9063606.00
LA	TN	952562.00
LA	SD	219025.00
AL	NE	333222.00
DC	NY	64652969.00
VT	UT	111857.00
TN	OH	4705357.00
SD	OH	511752.00
WY	CA	881743.00
VT	MI	224056.00
MI	MA	27588782.00
MI	TX	4790296.00
ME	NV	213405.00
UT	TX	1769468.00
UT	MA	37167637.00
PR	MD	3578762.00
AR	AL	376250.00
GA	AR	2304883.00
NJ	WV	933810.00
WI	WY	97200.00
MI	KY	2193539.00
UT	KY	1036947.00
SC	WV	377800.00
RI	ID	70800.00
WY	RI	32650.00
ID	MD	87974.00
CA	ID	6093084.00
MT	ND	279763.00
WA	SC	889246.00
IS	FL	1000.00
GA	NV	2348722.00
SC	WY	56700.00
NJ	WY	1206775.00
WI	WV	340409.00
IA	MT	186093.00
DE	ME	117500.00
OH	OH	684547897.00
ME	AR	79146.00
KS	MS	119250.00
NC	CT	828820.00
VT	AL	19250.00
NH	MD	521730.00
NC	MN	1196067.00
WY	IN	401800.00
AR	UT	628709.00
AR	MI	1348352.00
ZZ	IL	2210086.00
NV	TN	1120033.00
NV	SD	502109.00
AK	WA	1085788.00
NM	ND	123371.00
NY	NC	22782443.00
LA	AK	8233712.00
TN	NE	333050.00
SD	NE	487850.00
FL	MT	4196021.00
TX	IA	7935900.00
MA	IA	3070668.00
MT	PA	210793.00
WV	IN	632411.00
CO	IN	2630704.00
GU	AZ	24459.00
NM	MP	2000.00
VI	ME	591600.00
SW	AR	250.00
AZ	WY	1040679.00
NM	PA	668522.00
CT	KS	1023987.00
IN	ID	240345.00
NV	MI	1861327.00
AR	TN	556873.00
AR	SD	102260.00
OR	AZ	741197.00
MS	NM	60525.00
NV	UT	1917839.00
MN	KS	725776.00
KY	FL	2023537.00
PH	MA	750.00
NV	AL	825472.00
IL	MT	4107480.00
AL	MA	8369184.00
NE	KY	783604.00
AL	TX	6621222.00
WA	NY	15005042.00
OR	NJ	253981.00
VT	SD	70050.00
VT	TN	98650.00
AZ	WV	458104.00
KY	IA	451644.00
CO	RI	1673925.00
WV	RI	56850.00
OH	NE	694602.00
GU	WI	6375.00
AK	DC	1665793.00
HI	MD	137108.00
VA	IL	81270137.00
OR	WI	1504679.00
PA	ME	1904006.00
AA	NC	300.00
AL	KY	5065198.00
NE	TX	935370.00
CO	CA	8832357.00
WV	CA	753123.00
NE	MA	3591215.00
FF	FL	100.00
MO	MD	834675.00
AK	OK	69500.00
TX	FL	34203855.00
MA	FL	15248111.00
MS	MI	403100.00
IN	ND	136355.00
ID	NJ	132080.00
ZZ	CA	76441.00
IL	NE	2339082.00
MS	UT	247049.00
NV	NM	1607576.00
CA	MP	16000.00
MD	IA	5639442.00
IA	OH	1301232.00
NH	WI	1033754.00
PA	MS	941009.00
OH	MT	1287595.00
PR	AZ	33350.00
MN	WY	320000.00
NY	GA	17912351.00
NH	NJ	1478798.00
CA	PA	34836705.00
AZ	KS	1056778.00
EN	MA	4050.00
AS	IL	15450.00
CT	WY	885680.00
ID	WI	336918.00
ZZ	RI	88040.00
RI	PA	654859.00
