2908934.00,AR,DEM,2014
733325.00,AR,DEM,2015
1442117.00,AR,DEM,2016
148019.00,AR,DEM,2017
2000.00,AR,DFL,2005
2100.00,AR,DFL,2006
3800.00,AR,DFL,2007
7250.00,AR,DFL,2008
1000.00,AR,DFL,2009
3950.00,AR,DFL,2010
250.00,AR,DFL,2012
7350.00,AR,DFL,2013
3650.00,AR,DFL,2014
300.00,AR,DFL,2015
3650.00,AR,DFL,2016
200.00,AR,GRE,2005
6710.00,AR,GRE,2007
6135.00,AR,GRE,2008
750.00,AR,GRE,2010
250.00,AR,GRE,2012
50.00,AR,GRE,2017
300.00,AR,IND,2006
450.00,AR,IND,2009
20525.00,AR,IND,2010
425.00,AR,IND,2011
1925.00,AR,IND,2012
12100.00,AR,IND,2014
500.00,AR,IND,2015
1925.00,AR,IND,2016
250.00,AR,IND,2017
2700.00,AR,LIB,2004
500.00,AR,LIB,2005
4250.00,AR,LIB,2006
250.00,AR,LIB,2007
1457.00,AR,LIB,2008
250.00,AR,LIB,2011
1750.00,AR,LIB,2012
250.00,AR,LIB,2016
250.00,AR,NNE,2013
563.00,AR,NNE,2014
220.00,AR,OTH,2004
100.00,AR,OTH,2012
1500.00,AR,OTH,2015
286687.00,AR,REP,2003
617901.00,AR,REP,2004
264533.00,AR,REP,2005
396905.00,AR,REP,2006
1145782.00,AR,REP,2007
666194.00,AR,REP,2008
1686758.00,AR,REP,2009
4596195.00,AR,REP,2010
1767586.00,AR,REP,2011
3624585.00,AR,REP,2012
3572692.00,AR,REP,2013
5105950.00,AR,REP,2014
2681724.00,AR,REP,2015
3084639.00,AR,REP,2016
458797.00,AR,REP,2017
8100.00,AR,UNK,2016
2700.00,AR,UNK,2017
200.00,AS,DEM,2003
3750.00,AS,DEM,2004
500.00,AS,DEM,2008
3200.00,AS,DEM,2011
3450.00,AS,DEM,2012
500.00,AS,DEM,2013
12050.00,AS,DEM,2014
450.00,AS,DEM,2015
9625.00,AS,DEM,2016
2350.00,AS,IND,2008
6200.00,AS,IND,2012
10.00,AS,NNE,2012
1800.00,AS,REP,2002
300.00,AS,REP,2006
1250.00,AS,REP,2010
500.00,AS,REP,2012
3050.00,AS,REP,2015
1175.00,AS,REP,2016
3850.00,AS,UNK,2014
275.00,AU,REP,2015
37.00,AU,REP,2016
669.00,AZ,,2007
27298.00,AZ,,2008
250.00,AZ,CON,2016
3550.00,AZ,CST,2008
135.00,AZ,DEM,2000
706256.00,AZ,DEM,2003
2284733.00,AZ,DEM,2004
1784045.00,AZ,DEM,2005
15150568.00,AZ,DEM,2006
4263271.00,AZ,DEM,2007
7670924.00,AZ,DEM,2008
2023746.00,AZ,DEM,2009
3771578.00,AZ,DEM,2010
2300645.00,AZ,DEM,2011
8140775.00,AZ,DEM,2012
1715797.00,AZ,DEM,2013
3043132.00,AZ,DEM,2014
2397007.00,AZ,DEM,2015
5934649.00,AZ,DEM,2016
1034758.00,AZ,DEM,2017
20.00,AZ,DEM,2106
5800.00,AZ,DFL,2006
2200.00,AZ,DFL,2007
7400.00,AZ,DFL,2008
5950.00,AZ,DFL,2009
3050.00,AZ,DFL,2010
1250.00,AZ,DFL,2011
12602.00,AZ,DFL,2012
50810.00,AZ,DFL,2013
12389.00,AZ,DFL,2014
10325.00,AZ,DFL,2015
19570.00,AZ,DFL,2016
14725.00,AZ,DFL,2017
4000.00,AZ,GRE,2005
2100.00,AZ,GRE,2006
4450.00,AZ,GRE,2008
7100.00,AZ,GRE,2010
4500.00,AZ,GRE,2012
1200.00,AZ,GRE,2015
1500.00,AZ,IND,2005
7815.00,AZ,IND,2006
22600.00,AZ,IND,2007
7700.00,AZ,IND,2008
1000.00,AZ,IND,2009
18184.00,AZ,IND,2010
44730.00,AZ,IND,2011
49676.00,AZ,IND,2012
1000.00,AZ,IND,2013
7800.00,AZ,IND,2014
3670.00,AZ,IND,2015
49071.00,AZ,IND,2016
2206.00,AZ,IND,2017
9450.00,AZ,LIB,2004
1000.00,AZ,LIB,2005
17729.00,AZ,LIB,2006
974.00,AZ,LIB,2007
15276.00,AZ,LIB,2008
10.00,AZ,LIB,2010
8550.00,AZ,LIB,2011
23449.00,AZ,LIB,2012
500.00,AZ,LIB,2016
4300.00,AZ,NNE,2012
3400.00,AZ,NNE,2013
683.00,AZ,NNE,2014
2000.00,AZ,NPA,2004
1000.00,AZ,OTH,2004
500.00,AZ,OTH,2010
320.00,AZ,OTH,2011
500.00,AZ,OTH,2012
5200.00,AZ,OTH,2013
500.00,AZ,OTH,2014
5200.00,AZ,OTH,2015
1200.00,AZ,OTH,2016
766215.00,AZ,REP,2003
2107859.00,AZ,REP,2004
3208948.00,AZ,REP,2005
7932613.00,AZ,REP,2006
4194967.00,AZ,REP,2007
3867414.00,AZ,REP,2008
1444800.00,AZ,REP,2009
8551401.00,AZ,REP,2010
6419824.00,AZ,REP,2011
13233055.00,AZ,REP,2012
8637161.00,AZ,REP,2013
4090192.00,AZ,REP,2014
5171873.00,AZ,REP,2015
5892610.00,AZ,REP,2016
1988988.00,AZ,REP,2017
4075.00,AZ,UNK,2004
1000.00,AZ,UNK,2010
1450.00,AZ,UNK,2015
358310.00,AZ,UNK,2016
107227.00,AZ,UNK,2017
750.00,BA,DEM,2003
500.00,BC,DEM,2003
500.00,BC,DEM,2004
50.00,BC,DEM,2015
635.00,BC,REP,2015
28.00,BC,REP,2016
300.00,BE,DEM,2006
250.00,BL,DEM,2003
750.00,BR,DEM,2004
600.00,BR,REP,2015
250.00,BR,REP,2016
2000.00,BX,DEM,2004
315.00,CA,,2009
700.00,CA,,2011
149978.00,CA,,2012
6000.00,CA,AIP,2010
750.00,CA,CON,2016
5850.00,CA,CST,2005
13500.00,CA,CST,2008
1596.00,CA,DEM,2000
1000.00,CA,DEM,2001
2700.00,CA,DEM,2002
15462743.00,CA,DEM,2003
35898991.00,CA,DEM,2004
10119128.00,CA,DEM,2005
23465841.00,CA,DEM,2006
60677143.00,CA,DEM,2007
91563811.00,CA,DEM,2008
21917757.00,CA,DEM,2009
29585020.00,CA,DEM,2010
31614859.00,CA,DEM,2011
66602196.00,CA,DEM,2012
22208299.00,CA,DEM,2013
32934678.00,CA,DEM,2014
34922199.00,CA,DEM,2015
62047772.00,CA,DEM,2016
22539575.00,CA,DEM,2017
500.00,CA,DEM,2018
500.00,CA,DEM,2019
240.00,CA,DEM,2020
2300.00,CA,DFL,2005
71248.00,CA,DFL,2006
76270.00,CA,DFL,2007
322166.00,CA,DFL,2008
71150.00,CA,DFL,2009
222911.00,CA,DFL,2010
154700.00,CA,DFL,2011
230819.00,CA,DFL,2012
319459.00,CA,DFL,2013
462816.00,CA,DFL,2014
121310.00,CA,DFL,2015
218248.00,CA,DFL,2016
80310.00,CA,DFL,2017
466.00,CA,GRE,2003
3650.00,CA,GRE,2004
10000.00,CA,GRE,2005
41575.00,CA,GRE,2006
11880.00,CA,GRE,2007
34604.00,CA,GRE,2008
8088.00,CA,GRE,2010
1950.00,CA,GRE,2011
54754.00,CA,GRE,2012
419670.00,CA,GRE,2013
9050.00,CA,GRE,2015
6000.00,CA,GRE,2016
5327.00,CA,GRE,2017
3700.00,CA,IND,2004
69000.00,CA,IND,2005
222668.00,CA,IND,2006
1500.00,CA,IND,2007
16150.00,CA,IND,2008
61206.00,CA,IND,2009
94896.00,CA,IND,2010
181536.00,CA,IND,2011
666891.00,CA,IND,2012
13220.00,CA,IND,2013
309067.00,CA,IND,2014
85065.00,CA,IND,2015
149811.00,CA,IND,2016
178584.00,CA,IND,2017
10450.00,CA,LIB,2003
138998.00,CA,LIB,2004
8481.00,CA,LIB,2005
56408.00,CA,LIB,2006
45949.00,CA,LIB,2007
91437.00,CA,LIB,2008
1000.00,CA,LIB,2009
10150.00,CA,LIB,2010
70865.00,CA,LIB,2011
123979.00,CA,LIB,2012
3900.00,CA,LIB,2014
20869.00,CA,LIB,2016
3700.00,CA,LIB,2017
1250.00,CA,N/A,2008
3000.00,CA,NNE,2008
2424.00,CA,NNE,2010
34276.00,CA,NNE,2012
118201.00,CA,NNE,2013
465433.00,CA,NNE,2014
2000.00,CA,NNE,2015
4000.00,CA,NPA,2004
500.00,CA,NPA,2006
1000.00,CA,NPA,2010
1250.00,CA,NPA,2011
32483.00,CA,NPA,2012
1535.00,CA,NPA,2016
26967.00,CA,NPA,2017
500.00,CA,OTH,2003
55520.00,CA,OTH,2004
250.00,CA,OTH,2006
250.00,CA,OTH,2010
237.00,CA,OTH,2011
