Poll,Date,Baxley (D),Riley (R)
SurveyUSA,10/29 - 10/31,55.4,35.8
SurveyUSA,10/15 - 10/17,55.4,35.2
Rasmussen,10/9 - 10/9,55.0,35.0
Univ. of S. Alab.,9/30 - 10/3,55.3,34.7
SurveyUSA,9/25 - 9/27,54.5,36.0
Birmingham News,9/5 - 9/7,55.0,34.0
