Poll,Date,Brown (D),Hogan (R)
Gonzales Research***,10/20 - 10/24,49.6,40.0
CBS News/NYT/YouGov,10/16 - 10/23,50.6,38.6
Baltimore Sun,10/4 - 10/8,50.8,38.8
Washington Post*,10/2 - 10/5,50.6,37.4
CBS News/NYT/YouGov,9/20 - 10/1,51.4,36.4
CBS News/NYT/YouGov,8/18 - 9/2,50.5,36.0
CBS News/NYT/YouGov,7/5 - 7/24,50.3,35.7
Rasmussen Reports,7/9 - 7/10,49.5,34.0
Washington Post,6/5 - 6/8,51.0,33.0
