Poll,Date,Bredesen (D),Bryson (R)
SurveyUSA,11/3 - 11/5,62.0,30.6
Mason-Dixon,11/1 - 11/3,62.2,30.2
CNN,10/26 - 10/29,62.6,30.6
SurveyUSA,10/22 - 10/24,64.0,28.4
Mason-Dixon,10/18 - 10/20,62.6,26.8
SurveyUSA,10/7 - 10/9,62.8,25.8
Rasmussen,9/28 - 10/1,62.8,25.4
USA Today/Gallup,9/27 - 10/1,61.8,26.0
Middle Tn. State U.,9/19 - 9/30,60.8,26.0
Mason-Dixon,9/25 - 9/27,61.3,27.7
SurveyUSA,9/9 - 9/11,60.5,30.5
Rasmussen,9/5 - 9/5,58.0,31.0
