Poll,Date,Heitkamp (D),Berg (R)
Mason-Dixon,10/26 - 10/28,43.4,48.6
Rasmussen Reports,10/17 - 10/18,43.8,48.4
Forum/Essman,10/12 - 10/15,43.6,48.6
Mason-Dixon,10/3 - 10/5,44.5,48.2
Rasmussen Reports,7/10 - 7/11,43.7,48.7
Mason-Dixon,6/4 - 6/6,45.5,48.5
Forum/Essman*,5/3 - 5/8,44.0,51.0
